komentar,noise,clean,normalized,label
"this video popped up kinda late. i'm 17 (gonna be 18 soon. a grown ahh man btw) and just got a breakdown not far away from now, the bubble was just burst. i heard things, blank almost all the time (i don't know where i am and what is going on). i didn't self diagnose cuz it could be wrong, but most of the case are definitely there.
in this video, i feel so seen, i feel that.. it's not me that just too dramatic or too crazy. and i just realize i've been in this situation for more than a year.

all the time people make me feel like i'm weak, that i'm overdramatic and ""that feelings gonna be gone shortly"" especially with my parents. 
i almost cry reading the comment section here, also bear in mind that my parents is such a strict and religious one. so we all know what was going on when i told them. 
""fix your salah, read your qur'an, those religious people you've seen suicide because they don't know their god! so there's something wrong about what they did."" and everything. then not talking about logic. (i was in a breakdown once, and they really are telling me to explain what is mental health and etc. i was on the brink.)

i don't know if somebody read this, or maybe nobody read this. but i'm just so happy. this is the first time ever i feel seen, and the best part is he's a doctor. a good doctor i can say. and i'm really happy that i'm not alone, that i'm not crazy and ""too dramatic"". i feel like as a gen z i want to spread more awareness about mental health. i love you all.",Clean,"this video popped up kinda late im  gonna be  soon a grown ahh man btw and just got a breakdown not far away from now the bubble was just burst i heard things blank almost all the time i dont know where i am and what is going on i didnt self diagnose cuz it could be wrong but most of the case are definitely there
in this video i feel so seen i feel that its not me that just too dramatic or too crazy and i just realize ive been in this situation for more than a year

all the time people make me feel like im weak that im overdramatic and that feelings gonna be gone shortly especially with my parents 
i almost cry reading the comment section here also bear in mind that my parents is such a strict and religious one so we all know what was going on when i told them 
fix your salah read your quran those religious people youve seen suicide because they dont know their god so theres something wrong about what they did and everything then not talking about logic i was in a breakdown once and they really are telling me to explain what is mental health and etc i was on the brink

i dont know if somebody read this or maybe nobody read this but im just so happy this is the first time ever i feel seen and the best part is hes a doctor a good doctor i can say and im really happy that im not alone that im not crazy and too dramatic i feel like as a gen z i want to spread more awareness about mental health i love you all",this video popped up kinda late im gonna be soon a grown ahh man btw and just got a breakdown not far away from now the bubble was just burst i heard things blank almost all the time i dont know where i am and what is going on i didnt self diagnose cuz it could be wrong but most of the case are definitely there in this video i feel so seen i feel that its not me that just too dramatic or too crazy and i just realize ive been in this situation for more than a year all the time people make me feel like im weak that im overdramatic and that feelings gonna be gone shortly especially with my parents i almost cry reading the comment section here also bear in mind that my parents is such a strict and religious one so we all know what was going on when i told them fix your salah read your quran those religious people youve seen suicide because they dont know their god so theres something wrong about what they did and everything then not talking about logic i was in a breakdown once and they really are telling me to explain what is mental health and etc i was on the brink i dont know if somebody read this or maybe nobody read this but im just so happy this is the first time ever i feel seen and the best part is hes a doctor a good doctor i can say and im really happy that im not alone that im not crazy and too dramatic i feel like as a gen z i want to spread more awareness about mental health i love you all,Normal
Mohon izin cara menyembuhkan penyakit bisikan 😢🙏,Clean,mohon izin cara menyembuhkan penyakit bisikan,mohon izin cara menyembuhkan penyakit bisikan,Normal
Matursuwun mas wes gawe konten isi kyk ngene. 🙏,Clean,matursuwun mas wes gawe konten isi kyk ngene,matursuwun mas wes gawe konten isi kyk ngene,Normal
"Aku ngerasain depresi, kesepian gak punya temen",Clean,aku ngerasain depresi kesepian gak punya temen,aku ngerasain depresi kesepian gak punya temen,Depresi
"ya kalo itu disebutin semua.. ya semuanya ada di kita, tapi kita ndak bisa self diagnosed begitu. Wajib ketemu sma yg ahlinya",Clean,ya kalo itu disebutin semua ya semuanya ada di kita tapi kita ndak bisa self diagnosed begitu wajib ketemu sma yg ahlinya,ya kalo itu disebutin semua ya semuanya ada di kita tapi kita ndak bisa self diagnosed begitu wajib ketemu sma yg ahlinya,Normal
Frame Cinelli seri apa dok? 🗿,Clean,frame cinelli seri apa dok,frame cinelli seri apa dok,Normal
"Koyo om lu cara dn logatnya bicara    ,om ku arek malang",Clean,koyo om lu cara dn logatnya bicara    om ku arek malang,koyo om lu cara dn logatnya bicara om ku arek malang,Normal
sekaline cerito langsung di jak adu nasib.. beh beh,Clean,sekaline cerito langsung di jak adu nasib beh beh,sekaline cerito langsung di jak adu nasib beh beh,Normal
sooo baksoooo teng teng teng 🤣,Clean,sooo baksoooo teng teng teng,sooo baksoooo teng teng teng,Normal
"Akhir tahun 2025 kehilangan pekerjaan,kehilangan orang yang disayang thanks dok udah mewakilkan diagnosis anxiety disorder😊",Clean,akhir tahun  kehilangan pekerjaankehilangan orang yang disayang thanks dok udah mewakilkan diagnosis anxiety disorder,akhir tahun kehilangan pekerjaankehilangan orang yang disayang thanks dok udah mewakilkan diagnosis anxiety disorder,Normal
Kenapa orang kok bisa depresi bang,Clean,kenapa orang kok bisa depresi bang,kenapa orang kok bisa depresi bang,Depresi
"Orii cok... Pengalaman gua ya, gua banyak diem dikamar, ngunci kamar behari"" (mengurungkan diri)... Sampe suatu hari org tua, manggil Ustadz!

Bjirrss.... Gua dikira kesurupan suuu asu",Clean,"orii cok pengalaman gua ya gua banyak diem dikamar ngunci kamar behari mengurungkan diri sampe suatu hari org tua manggil ustadz

bjirrss gua dikira kesurupan suuu asu",orii cok pengalaman gua ya gua banyak diem dikamar ngunci kamar behari mengurungkan diri sampe suatu hari org tua manggil ustadz bjirrss gua dikira kesurupan suuu asu,Normal
"Dokter preman, tapi jadi berkat. Tetap semangat - God bless u",Clean,dokter preman tapi jadi berkat tetap semangat  god bless u,dokter preman tapi jadi berkat tetap semangat god bless u,Normal
"Hahaaaa...😅😅😅😅😅😅😅
LUCU LUCU😅😅😅😅😅",Clean,"hahaaaa
lucu lucu",hahaaaa lucu lucu,Normal
"Org depresi bisa denger suara.....
Gw : lah di tempat ibadah banyak yg ngaku denger suara Tuhan tuh 😅😅😅",Clean,"org depresi bisa denger suara
gw  lah di tempat ibadah banyak yg ngaku denger suara tuhan tuh",org depresi bisa denger suara saya lah di tempat ibadah banyak yg ngaku denger suara tuhan tuh,Depresi
Semenjak aku mendalami paham FILSAFAT nihilisme dan absurdsm aku gak ada empati,Clean,semenjak aku mendalami paham filsafat nihilisme dan absurdsm aku gak ada empati,semenjak aku mendalami paham filsafat nihilisme dan absurdsm aku gak ada empati,Normal
"Boss dok ko ada ya orang yg ga bisa move dan pikirannya stuck sama suatu masalah sampe dia ngerasa burn out, padahal udah di kasih masukan buat gausah terlalu dipikirin.. Diselesaiin.. Dia juga sadar harusnya ga boleh berlarut.. Tp pikirannya stuck mendalami masalah itu tanpa nyari solusi.. Ujungnya asam lambungnya naik, lemes dan ga produktif..",Clean,boss dok ko ada ya orang yg ga bisa move dan pikirannya stuck sama suatu masalah sampe dia ngerasa burn out padahal udah di kasih masukan buat gausah terlalu dipikirin diselesaiin dia juga sadar harusnya ga boleh berlarut tp pikirannya stuck mendalami masalah itu tanpa nyari solusi ujungnya asam lambungnya naik lemes dan ga produktif,boss dok ko ada ya orang yg tidak bisa move dan pikirannya stuck sama suatu masalah sampe dia ngerasa burn out padahal udah di kasih masukan buat gausah terlalu dipikirin diselesaiin dia juga sadar harusnya tidak boleh berlarut tp pikirannya stuck mendalami masalah itu tanpa nyari solusi ujungnya asam lambungnya naik lemes dan tidak produktif,Normal
Wwkwkkw saya cincang ttd kaoo wkwkw,Clean,wwkwkkw saya cincang ttd kaoo wkwkw,wwkwkkw saya cincang ttd kaoo wkwkw,Normal
Yang depresinya diserti gejala gangguan tidur?,Clean,yang depresinya diserti gejala gangguan tidur,yang depresinya diserti gejala gangguan tidur,Depresi
Apa kah bisa minta tolong terapi Psikologi ya ke dokter Tirta,Clean,apa kah bisa minta tolong terapi psikologi ya ke dokter tirta,apa kah bisa minta tolong terapi psikologi ya ke dokter tirta,Normal
Terapi psikologi dong dong minta bantu,Clean,terapi psikologi dong dong minta bantu,terapi psikologi dong dong minta bantu,Normal
"Bgni..
Gw permah belajar masalah depresi..
Ada tingkat.a

Depresi itu sbner.a perubahan skema hidup.. yg td.a ceria jd murung..dan sebaliknya..
Dan itu tergantung lever setres..
  Biasanya sikosomatis yg sering terjadi.. dan tanpa di sadari

Makanya klo org depresi slalu bilang..
Ko skrg gw bgni y..
Tanpa di sadari dia ada perubahan sekema hidup..

Org"" bgtu btuh temen yg selaras dan bisa menyadari hidupnya🙏",Clean,"bgni
gw permah belajar masalah depresi
ada tingkata

depresi itu sbnera perubahan skema hidup yg tda ceria jd murungdan sebaliknya
dan itu tergantung lever setres
  biasanya sikosomatis yg sering terjadi dan tanpa di sadari

makanya klo org depresi slalu bilang
ko skrg gw bgni y
tanpa di sadari dia ada perubahan sekema hidup

org bgtu btuh temen yg selaras dan bisa menyadari hidupnya",bgni saya permah belajar masalah depresi ada tingkata depresi itu sbnera perubahan skema hidup yg tda ceria jd murungdan sebaliknya dan itu tergantung lever setres biasanya sikosomatis yg sering terjadi dan tanpa di sadari makanya klo org depresi slalu bilang ko skrg saya bgni y tanpa di sadari dia ada perubahan sekema hidup org bgtu btuh temen yg selaras dan bisa menyadari hidupnya,Depresi
Contoh contoh nya kami ga ikut ikutan dok🤣,Clean,contoh contoh nya kami ga ikut ikutan dok,contoh contoh nya kami tidak ikut ikutan dok,Normal
Kalau dengar suara orang ngomongin kita padahal itu belum tentu orgnya ada  ngomong.itu disebut sakit apa dok.....apakah otak bisa menciptakan halusinasi setiap org.,Clean,kalau dengar suara orang ngomongin kita padahal itu belum tentu orgnya ada  ngomongitu disebut sakit apa dokapakah otak bisa menciptakan halusinasi setiap org,kalau dengar suara orang ngomongin kita padahal itu belum tentu orgnya ada ngomongitu disebut sakit apa dokapakah otak bisa menciptakan halusinasi setiap org,Normal
"disalahkan terus menerus setiap hari selama setahun, gimana tidak depresi.
Tim aku ada 4 org, 3 org udah keluar semua . Sisanya aku seorang dgn gejala depresi mayor:(",Clean,"disalahkan terus menerus setiap hari selama setahun gimana tidak depresi
tim aku ada  org  org udah keluar semua  sisanya aku seorang dgn gejala depresi mayor",disalahkan terus menerus setiap hari selama setahun gimana tidak depresi tim aku ada org org udah keluar semua sisanya aku seorang dgn gejala depresi mayor,Depresi
"Aku depresi dari sejak skolah SmP, banyak faktor, kurang kasih sayang dri ortu dan bulliyan di skolah jg, serta aku berasal dari kluarga kurang mampu. Makanan jg mungkin kurang mumpuni, sampe sekarang umur 30. Udah ke psikiater 2 th konsumsi obat, sampai sekarang tp hanya sesekali ku minum kalau bener bener GK bisa tidur dan sakit kepala karna banyak fikiran atau kecapean menjalani kehidupan. Cm survive buat semangat menjalani kehidupan itu sangat sangat sulit, pengen jg punya seseorang yg menerima diri ini karna kesepian jg makin bikin depresi, tp kalau menunjukkan jati diri yg sebenarnya depresi, GK ada orang yg mau menerima keadaanku. Seperti mereka sulit mengerti dan memahami aku dan ribet bagi mereka untuk memahami ku akhirnya aku harus memendam apapun dan bikin aku makin depresi karna misal ingin di perlakukan seperti ABC tp orang memperlakukanku DEF GK sesuai dg hal yg bkin aku nyaman. JD GK tau apakah aku bisa menerima perlakuan atau hal hal yg tdk aku inginkan tp aku butuh ada orang untuk teman hidup karna sepi",Clean,aku depresi dari sejak skolah smp banyak faktor kurang kasih sayang dri ortu dan bulliyan di skolah jg serta aku berasal dari kluarga kurang mampu makanan jg mungkin kurang mumpuni sampe sekarang umur  udah ke psikiater  th konsumsi obat sampai sekarang tp hanya sesekali ku minum kalau bener bener gk bisa tidur dan sakit kepala karna banyak fikiran atau kecapean menjalani kehidupan cm survive buat semangat menjalani kehidupan itu sangat sangat sulit pengen jg punya seseorang yg menerima diri ini karna kesepian jg makin bikin depresi tp kalau menunjukkan jati diri yg sebenarnya depresi gk ada orang yg mau menerima keadaanku seperti mereka sulit mengerti dan memahami aku dan ribet bagi mereka untuk memahami ku akhirnya aku harus memendam apapun dan bikin aku makin depresi karna misal ingin di perlakukan seperti abc tp orang memperlakukanku def gk sesuai dg hal yg bkin aku nyaman jd gk tau apakah aku bisa menerima perlakuan atau hal hal yg tdk aku inginkan tp aku butuh ada orang untuk teman hidup karna sepi,aku depresi dari sejak skolah smp banyak faktor kurang kasih sayang dri ortu dan bulliyan di skolah jg serta aku berasal dari kluarga kurang mampu makanan jg mungkin kurang mumpuni sampe sekarang umur udah ke psikiater th konsumsi obat sampai sekarang tp hanya sesekali ku minum kalau bener bener tidak bisa tidur dan sakit kepala karna banyak fikiran atau kecapean menjalani kehidupan cm survive buat semangat menjalani kehidupan itu sangat sangat sulit pengen jg punya seseorang yg menerima diri ini karna kesepian jg makin bikin depresi tp kalau menunjukkan jati diri yg sebenarnya depresi tidak ada orang yg mau menerima keadaanku seperti mereka sulit mengerti dan memahami aku dan ribet bagi mereka untuk memahami ku akhirnya aku harus memendam apapun dan bikin aku makin depresi karna misal ingin di perlakukan seperti abc tp orang memperlakukanku def tidak sesuai dg hal yg bkin aku nyaman jd tidak tau apakah aku bisa menerima perlakuan atau hal hal yg tdk aku inginkan tp aku butuh ada orang untuk teman hidup karna sepi,Depresi
mas req spatu untk yang suka bermain game online to start this rental ps,Clean,mas req spatu untk yang suka bermain game online to start this rental ps,mas req spatu untk yang suka bermain game online to start this rental ps,Normal
Wkwkk dokkk.. Sekarang aku makan nie gacoan level 8.. Sambil kenikmati rasa nyeri di perut dn ulu hati,Clean,wkwkk dokkk sekarang aku makan nie gacoan level  sambil kenikmati rasa nyeri di perut dn ulu hati,wkwkk dokkk sekarang aku makan nie gacoan level sambil kenikmati rasa nyeri di perut dn ulu hati,Normal
Aku pergi ke konser sendirian tenang banget rasanya,Clean,aku pergi ke konser sendirian tenang banget rasanya,aku pergi ke konser sendirian tenang banget rasanya,Normal
"Sayangnya yg kadang hbs curhat, giliran dicurhatin responnya dingin. Trs dateng pas mau curhat doang, pas seneng2 nyari temen lain. Sorry ya, saya pun lelah, orang2 yg kek gini mending ke ahlinya aja jgn bikin org lain ikut stres 😅",Clean,sayangnya yg kadang hbs curhat giliran dicurhatin responnya dingin trs dateng pas mau curhat doang pas seneng nyari temen lain sorry ya saya pun lelah orang yg kek gini mending ke ahlinya aja jgn bikin org lain ikut stres,sayangnya yg kadang hbs curhat giliran dicurhatin responnya dingin terus dateng pas mau curhat doang pas seneng nyari temen lain sorry ya saya pun lelah orang yg kek gini mending ke ahlinya aja jgn bikin org lain ikut stres,Stress
"Saudaraku ada cerita terus, capek juga dengerin nya gimana ya?

Kalo ga didengerin takutnya dia depresi bundir, kalo didengerin, capek juga kita dengar nya terus2an",Clean,"saudaraku ada cerita terus capek juga dengerin nya gimana ya

kalo ga didengerin takutnya dia depresi bundir kalo didengerin capek juga kita dengar nya terusan",saudaraku ada cerita terus capek juga dengerin nya gimana ya kalo tidak didengerin takutnya dia depresi bundir kalo didengerin capek juga kita dengar nya terusan,Stress
"DAN HARUS INGAT KITA AKAN KEMBALI SEMUA KEPADANYA ...
. TUHAN",Clean,"dan harus ingat kita akan kembali semua kepadanya 
 tuhan",dan harus ingat kita akan kembali semua kepadanya tuhan,Normal
Yg paling bagus istighfar mendekatkan diri kepada Allah SWT dan kita sampaikan apa yg kita inginkan ...m terkabul alhamdulilah jika belum jgn bersedih yg berlebihan ... Ttp usaha dan maju trs pantang mundur gapailah dunia yg diciptakan oleh sang pencipta sang pencipta dpt menciptakan dunia dan seisinya dan pastikan kita yakin kepada sang pencipta bahwa pasti mudah akan sang pencipta merubah apa yg diminta hambanya . PASTI DAN PASTI TERQOBUL. KUN FAYAKUN . PASTI DAPAT PASTI BISA DAPAT APA YG KITA INGINKAN..... AMIN AMIN AMIN🤲🤲🤲,Clean,yg paling bagus istighfar mendekatkan diri kepada allah swt dan kita sampaikan apa yg kita inginkan m terkabul alhamdulilah jika belum jgn bersedih yg berlebihan  ttp usaha dan maju trs pantang mundur gapailah dunia yg diciptakan oleh sang pencipta sang pencipta dpt menciptakan dunia dan seisinya dan pastikan kita yakin kepada sang pencipta bahwa pasti mudah akan sang pencipta merubah apa yg diminta hambanya  pasti dan pasti terqobul kun fayakun  pasti dapat pasti bisa dapat apa yg kita inginkan amin amin amin,yg paling bagus istighfar mendekatkan diri kepada allah swt dan kita sampaikan apa yg kita inginkan m terkabul alhamdulilah jika belum jgn bersedih yg berlebihan ttp usaha dan maju terus pantang mundur gapailah dunia yg diciptakan oleh sang pencipta sang pencipta dpt menciptakan dunia dan seisinya dan pastikan kita yakin kepada sang pencipta bahwa pasti mudah akan sang pencipta merubah apa yg diminta hambanya pasti dan pasti terqobul kun fayakun pasti dapat pasti bisa dapat apa yg kita inginkan amin amin amin,Depresi
Fans bgt sama dr Tirta🥰😇,Clean,fans bgt sama dr tirta,fans banget sama dr tirta,Normal
